PROVCN,PROVEN,DISTRICTCN,DISTRICTEN,NAMECN,NAMEEN,AREAID
黑龙江,heilongjiang,鹤岗,hegang,萝北,luobei,101051203
黑龙江,heilongjiang,双鸭山,shuangyashan,双鸭山,shuangyashan,101051301
黑龙江,heilongjiang,双鸭山,shuangyashan,集贤,jixian,101051302
黑龙江,heilongjiang,双鸭山,shuangyashan,宝清,baoqing,101051303
黑龙江,heilongjiang,双鸭山,shuangyashan,饶河,raohe,101051304
黑龙江,heilongjiang,双鸭山,shuangyashan,友谊,youyi,101051305
吉林,jilin,长春,changchun,长春,changchun,101060101
吉林,jilin,长春,changchun,农安,nongan,101060102
吉林,jilin,长春,changchun,德惠,dehui,101060103
吉林,jilin,长春,changchun,九台,jiutai,101060104
吉林,jilin,长春,changchun,榆树,yushu,101060105
吉林,jilin,长春,changchun,双阳,shuangyang,101060106
吉林,jilin,吉林,jilin,吉林,jilin,101060201
吉林,jilin,吉林,jilin,舒兰,shulan,101060202
吉林,jilin,吉林,jilin,永吉,yongji,101060203
吉林,jilin,吉林,jilin,蛟河,jiaohe,101060204
吉林,jilin,吉林,jilin,磐石,panshi,101060205
吉林,jilin,吉林,jilin,桦甸,huadian,101060206
吉林,jilin,延边,yanbian,延边,yanbian,101060301
吉林,jilin,延边,yanbian,敦化,dunhua,101060302
吉林,jilin,延边,yanbian,安图,antu,101060303
吉林,jilin,延边,yanbian,汪清,wangqing,101060304
吉林,jilin,延边,yanbian,和龙,helong,101060305
吉林,jilin,延边,yanbian,龙井,longjing,101060307
吉林,jilin,延边,yanbian,珲春,hunchun,101060308
吉林,jilin,延边,yanbian,图们,tumen,101060309
吉林,jilin,四平,siping,四平,siping,101060401
吉林,jilin,四平,siping,双辽,shuangliao,101060402
吉林,jilin,四平,siping,梨树,lishu,101060403
吉林,jilin,四平,siping,公主岭,gongzhuling,101060404
吉林,jilin,四平,siping,伊通,yitong,101060405
吉林,jilin,通化,tonghua,通化,tonghua,101060501
吉林,jilin,通化,tonghua,梅河口,meihekou,101060502
吉林,jilin,通化,tonghua,柳河,liuhe,101060503
吉林,jilin,通化,tonghua,辉南,huinan,101060504
吉林,jilin,通化,tonghua,集安,jian,101060505
吉林,jilin,通化,tonghua,通化县,tonghuaxian,101060506
吉林,jilin,白城,baicheng,白城,baicheng,101060601
吉林,jilin,白城,baicheng,洮南,taonan,101060602
吉林,jilin,白城,baicheng,大安,daan,101060603
吉林,jilin,白城,baicheng,镇赉,zhenlai,101060604
吉林,jilin,白城,baicheng,通榆,tongyu,101060605
吉林,jilin,辽源,liaoyuan,辽源,liaoyuan,101060701
吉林,jilin,辽源,liaoyuan,东丰,dongfeng,101060702
吉林,jilin,辽源,liaoyuan,东辽,dongliao,101060703
吉林,jilin,松原,songyuan,松原,songyuan,101060801
吉林,jilin,松原,songyuan,乾安,ganan,101060802
吉林,jilin,松原,songyuan,前郭,qianguo,101060803
吉林,jilin,松原,songyuan,长岭,changling,101060804
吉林,jilin,松原,songyuan,扶余,fuyu,101060805
吉林,jilin,白山,baishan,白山,baishan,101060901
吉林,jilin,白山,baishan,靖宇,jingyu,101060902
吉林,jilin,白山,baishan,临江,linjiang,101060903
吉林,jilin,白山,baishan,东岗,donggang,101060904
吉林,jilin,白山,baishan,长白,changbai,101060905
吉林,jilin,白山,baishan,抚松,fusong,101060906
吉林,jilin,白山,baishan,江源,jiangyuan,101060907
辽宁,liaoning,沈阳,shenyang,沈阳,shenyang,101070101
辽宁,liaoning,沈阳,shenyang,辽中,liaozhong,101070103
辽宁,liaoning,沈阳,shenyang,康平,kangping,101070104
辽宁,liaoning,沈阳,shenyang,法库,faku,101070105
辽宁,liaoning,沈阳,shenyang,新民,xinmin,101070106
辽宁,liaoning,大连,dalian,大连,dalian,101070201
辽宁,liaoning,大连,dalian,瓦房店,wafangdian,101070202
辽宁,liaoning,大连,dalian,金州,jinzhou,101070203
辽宁,liaoning,大连,dalian,普兰店,pulandian,101070204
辽宁,liaoning,大连,dalian,旅顺,lvshun,101070205
辽宁,liaoning,大连,dalian,长海,changhai,101070206
辽宁,liaoning,大连,dalian,庄河,zhuanghe,101070207
辽宁,liaoning,鞍山,anshan,鞍山,anshan,101070301
辽宁,liaoning,鞍山,anshan,台安,taian,101070302
辽宁,liaoning,鞍山,anshan,岫岩,xiuyan,101070303
辽宁,liaoning,鞍山,anshan,海城,haicheng,101070304
辽宁,liaoning,抚顺,fushun,抚顺,fushun,101070401
辽宁,liaoning,抚顺,fushun,新宾,xinbin,101070402
辽宁,liaoning,抚顺,fushun,清原,qingyuan,101070403
辽宁,liaoning,抚顺,fushun,章党,zhangdang,101070404
辽宁,liaoning,本溪,benxi,本溪,benxi,101070501
辽宁,liaoning,本溪,benxi,本溪县,benxixian,101070502
辽宁,liaoning,本溪,benxi,桓仁,huanren,101070504
辽宁,liaoning,丹东,dandong,丹东,dandong,101070601
辽宁,liaoning,丹东,dandong,凤城,fengcheng,101070602
辽宁,liaoning,丹东,dandong,宽甸,kuandian,101070603
辽宁,liaoning,丹东,dandong,东港,donggang,101070604
辽宁,liaoning,锦州,jinzhou,锦州,jinzhou,101070701
辽宁,liaoning,锦州,jinzhou,凌海,linghai,101070702
辽宁,liaoning,锦州,jinzhou,义县,yixian,101070704
辽宁,liaoning,锦州,jinzhou,黑山,heishan,101070705
辽宁,liaoning,锦州,jinzhou,北镇,beizhen,101070706
辽宁,liaoning,营口,yingkou,营口,yingkou,101070801
辽宁,liaoning,营口,yingkou,大石桥,dashiqiao,101070802
辽宁,liaoning,营口,yingkou,盖州,gaizhou,101070803
辽宁,liaoning,阜新,fuxin,阜新,fuxin,101070901
辽宁,liaoning,阜新,fuxin,彰武,zhangwu,101070902
辽宁,liaoning,辽阳,liaoyang,辽阳,liaoyang,101071001
辽宁,liaoning,辽阳,liaoyang,辽阳县,liaoyangxian,101071002
辽宁,liaoning,辽阳,liaoyang,灯塔,dengta,101071003
辽宁,liaoning,辽阳,liaoyang,弓长岭,gongchangling,101071004
辽宁,liaoning,铁岭,tieling,铁岭,tieling,101071101
辽宁,liaoning,铁岭,tieling,开原,kaiyuan,101071102
辽宁,liaoning,铁岭,tieling,昌图,changtu,101071103
辽宁,liaoning,铁岭,tieling,西丰,xifeng,101071104
辽宁,liaoning,铁岭,tieling,调兵山,diaobingshan,101071105
辽宁,liaoning,朝阳,zhaoyang,朝阳,zhaoyang,101071201
辽宁,liaoning,朝阳,zhaoyang,凌源,lingyuan,101071203
